cell	uniq_frags
3-4cell-191	11991.000000
3-4cell-192	17372.000000
3-4cell-193	17881.000000
3-4cell-194	13449.000000
3-4cell-195	10356.000000
3-4cell-196	6413.000000
3-4cell-197	18055.000000
3-4cell-198	23565.000000
3-4cell-199	17756.000000
3-4cell-2	189246.000000
3-4cell-20	229496.000000
3-4cell-200	2239.000000
3-4cell-201	3342.000000
3-4cell-202	2686.000000
3-4cell-203	3681.000000
3-4cell-204	6087.000000
3-4cell-205	7102.000000
3-4cell-206	20527.000000
3-4cell-207	5377.000000
3-4cell-208	4837.000000
3-4cell-209	8017.000000
3-4cell-21	66681.000000
3-4cell-210	5577.000000
3-4cell-211	3867.000000
3-4cell-212	3277.000000
3-4cell-213	4024.000000
3-4cell-214	3220.000000
3-4cell-215	2440.000000
3-4cell-216	17045.000000
3-4cell-217	8354.000000
3-4cell-218	11979.000000
3-4cell-219	4490.000000
3-4cell-22	40282.000000
3-4cell-220	16857.000000
3-4cell-221	9250.000000
3-4cell-222	11764.000000
3-4cell-223	10234.000000
3-4cell-224	5845.000000
3-4cell-225	8530.000000
3-4cell-226	20892.000000
3-4cell-227	7379.000000
3-4cell-228	26487.000000
3-4cell-229	12901.000000
3-4cell-23	86388.000000
3-4cell-230	17027.000000
3-4cell-231	14343.000000
3-4cell-232	14443.000000
3-4cell-233	18810.000000
3-4cell-234	9106.000000
3-4cell-235	20123.000000
3-4cell-236	5993.000000
3-4cell-237	14722.000000
3-4cell-238	6015.000000
3-4cell-239	14065.000000
3-4cell-24	91836.000000
3-4cell-240	593549.000000
3-4cell-241	215733.000000
3-4cell-242	234719.000000
3-4cell-243	362748.000000
3-4cell-244	241981.000000
3-4cell-245	389783.000000
3-4cell-246	322787.000000
3-4cell-247	417279.000000
3-4cell-248	452014.000000
3-4cell-249	209592.000000
3-4cell-25	63492.000000
3-4cell-250	2446.000000
3-4cell-251	474930.000000
3-4cell-252	93910.000000
3-4cell-253	90635.000000
3-4cell-254	213135.000000
3-4cell-255	406091.000000
3-4cell-256	633555.000000
3-4cell-257	133725.000000
3-4cell-258	37327.000000
3-4cell-259	25762.000000
3-4cell-26	126925.000000
3-4cell-260	25858.000000
3-4cell-261	1384.000000
3-4cell-262	40249.000000
3-4cell-263	23137.000000
3-4cell-264	24201.000000
3-4cell-265	21838.000000
3-4cell-266	28074.000000
