Distance from Center (cmd=annotatePeaks.pl tss mm10 -size -5000,5000 -hist 10 -norm 1e6 -fragLength 1 -d TagDirectory/8cell)	TagDirectory/8cell Coverage	TagDirectory/8cell + Tags	TagDirectory/8cell - Tags
-3830	0.125168366365211	5.70641716374836e-05	5.74249567057921e-05
-3820	0.122137771791418	5.62944968250917e-05	5.53564556474894e-05
-3810	0.125757648643448	6.02030017317684e-05	5.36487396574952e-05
-3800	0.128210987107947	5.62103136424865e-05	6.08403886857806e-05
-3790	0.127934385222244	6.06840484895133e-05	5.62704444872045e-05
-3780	0.128655955358861	6.04555512795847e-05	5.74971137194539e-05
-3770	0.132564460265538	6.00105830286708e-05	6.11891475851457e-05
-3760	0.131963151818357	6.23316336347892e-05	5.72565903405813e-05
-3750	0.12582980565711	5.68116220896673e-05	5.74730613815665e-05
-3740	0.129197132961324	5.57653453915725e-05	6.00947662112759e-05
-3730	0.124086011160285	5.73888781989611e-05	5.60299211083318e-05
-3720	0.130399749855686	6.10809120646533e-05	5.75692707331157e-05
-3710	0.124206272849721	5.60780257841064e-05	5.64388108524153e-05
-3700	0.128788243217241	5.89763324995192e-05	5.77015585914953e-05
-3690	0.125180392534154	5.70882239753707e-05	5.65350202039641e-05
-3680	0.13110929382336	6.15499326534542e-05	5.72686165095251e-05
-3670	0.122426399846065	5.691985761016e-05	5.44665191456613e-05
-3660	0.127188762747739	5.43943621319996e-05	5.96738502982494e-05
-3650	0.132155570521455	5.72325380026941e-05	6.22233981142975e-05
-3640	0.130159226476814	6.14176447950744e-05	5.71603809890326e-05
-3630	0.131578314412161	5.84231287281125e-05	6.20430055801427e-05
-3620	0.127393207619781	5.90965941889554e-05	5.70882239753709e-05
-3610	0.123773330767751	5.38772368674241e-05	5.81104483355785e-05
-3600	0.134873484702713	6.22233981142974e-05	6.05036559553591e-05
-3590	0.132203675197229	6.07441793342315e-05	5.87718876274779e-05
-3580	0.132624591110256	5.95415624398695e-05	5.93972484125459e-05
-3570	0.128006542235905	5.85313642486054e-05	5.65229940350205e-05
-3560	0.126575428131614	5.80623436598041e-05	5.7208485664807e-05
-3550	0.130339619010968	6.36545122185879e-05	5.54045603232638e-05
-3540	0.130183278814701	6.0455551279585e-05	5.65229940350206e-05
-3530	0.13559505483933	6.26082355204929e-05	5.99263998460654e-05
-3520	0.136064075428132	6.34139888397156e-05	5.97700596497982e-05
-3510	0.129161054454493	5.69318837791035e-05	6.04194727727538e-05
-3500	0.134548778141235	6.16341158360595e-05	6.19347700596501e-05
-3490	0.133274004233211	6.1141042909371e-05	6.00827400423326e-05
-3480	0.129738310563787	5.7930055801424e-05	6.0251106407543e-05
-3470	0.134584856648066	6.19227438907067e-05	6.12733307677509e-05
-3460	0.122258033480854	5.45627284972103e-05	5.70761978064272e-05
-3450	0.129365499326535	5.92288820473354e-05	5.81585530113531e-05
-3440	0.128391379642101	5.69920146238219e-05	6.04796036174719e-05
-3430	0.133394265922648	6.276457571676e-05	5.81826053492403e-05
-3420	0.128475562824707	5.79420819703677e-05	5.90605156821246e-05
-3410	0.131734654608428	5.83148932076203e-05	6.27284972099289e-05
-3400	0.133454396767366	5.92890128920535e-05	6.13454877814126e-05
-3390	0.133791129497787	6.44963440446414e-05	5.77616894362134e-05
-3380	0.134657013661728	5.65109678660769e-05	6.14898018087361e-05
-3370	0.135667211852992	6.0948624206273e-05	6.3654512218588e-05
-3360	0.125733596305561	5.61501827977684e-05	5.69318837791035e-05
-3350	0.126996344044641	5.70401192995964e-05	5.77857417741009e-05
-3340	0.130604194727728	6.03112372522613e-05	5.84952857417745e-05
-3330	0.1308447181066	5.56090051953054e-05	6.24278429863385e-05
-3320	0.138481335385799	6.1838560708101e-05	6.47609197614011e-05
-3310	0.128776217048297	5.95776409467004e-05	5.86877044448724e-05
-3300	0.128307196459496	5.9649797960362e-05	5.67394650760058e-05
-3290	0.127176736578795	5.93972484125462e-05	5.74249567057921e-05
